name,handedness,height,weight,avg,HR,BMI,BMI_Range
Denny Lemaster,Right Handed,73,182,0.13,4,24,Normal
Joe Nolan,Left Handed,71,175,0.263,27,24,Normal
Denny Doyle,Left Handed,69,175,0.25,16,26,Overweight
Jose Cardenal,Right Handed,70,150,0.275,138,22,Normal
Mike Ryan,Right Handed,74,205,0.193,28,26,Overweight
Fritz Peterson,Both Handed,72,185,0.159,2,25,Overweight
Dick Bertell,Right Handed,72,200,0.25,10,27,Overweight
Rod Kanehl,Right Handed,73,180,0.241,6,24,Normal
Juan Bonilla,Right Handed,69,170,0.256,7,25,Overweight
Frank Tepedino,Left Handed,71,185,0.241,6,26,Overweight
Rick Wise,Right Handed,73,180,0.195,15,24,Normal
Darrell Evans,Left Handed,74,200,0.248,414,26,Overweight
Buck Martinez,Right Handed,70,190,0.225,58,27,Overweight
John Wockenfuss,Right Handed,72,190,0.262,86,26,Overweight
Tommy McCraw,Left Handed,72,183,0.246,75,25,Overweight
Lee Lacy,Right Handed,73,175,0.286,91,23,Normal
Pete Rose,Both Handed,71,192,0.303,160,27,Overweight
Danny Walton,Right Handed,72,195,0.223,28,26,Overweight
Bobby Cox,Right Handed,71,180,0.225,9,25,Overweight
Brad Wellman,Right Handed,72,170,0.231,6,23,Normal
Jeff Newman,Right Handed,74,215,0.224,63,28,Overweight
Pedro Gonzalez,Right Handed,72,176,0.244,8,24,Normal
Tommie Reynolds,Right Handed,74,190,0.226,12,24,Normal
Gene Clines,Right Handed,69,170,0.277,5,25,Overweight
Jim Hickman,Right Handed,75,192,0.252,159,24,Normal
Jack Billingham,Right Handed,76,195,0.111,0,24,Normal
Jerry Buchek,Right Handed,71,185,0.22,22,26,Overweight
Ivan DeJesus,Right Handed,71,175,0.254,21,24,Normal
Gary Nolan,Right Handed,74,197,0.138,1,25,Overweight
Fred Whitfield,Left Handed,73,190,0.253,108,25,Overweight
Larry Dierker,Right Handed,76,215,0.136,4,26,Overweight
Dave Skaggs,Right Handed,74,200,0.241,3,26,Overweight
Dick Ruthven,Right Handed,75,190,0.183,1,24,Normal
Dave Kingman,Right Handed,78,210,0.236,442,24,Normal
Eric Soderholm,Right Handed,71,187,0.264,102,26,Overweight
Ed Brinkman,Right Handed,72,170,0.224,60,23,Normal
Wayne Garrett,Left Handed,71,175,0.239,61,24,Normal
Tony Muser,Left Handed,74,180,0.259,7,23,Normal
Ted Ford,Right Handed,70,180,0.219,17,26,Overweight
Jim Lyttle,Left Handed,72,180,0.248,9,24,Normal
Scot Thompson,Left Handed,75,195,0.262,5,24,Normal
Gene Locklear,Left Handed,70,165,0.274,9,24,Normal
Bo Diaz,Right Handed,71,185,0.255,87,26,Overweight
Bump Wills,Both Handed,69,172,0.266,36,25,Overweight
Pat Putnam,Left Handed,72,205,0.255,63,28,Overweight
Kurt Bevacqua,Right Handed,72,180,0.236,27,24,Normal
Syd O'Brien,Right Handed,73,185,0.23,24,24,Normal
Chris Chambliss,Left Handed,73,195,0.279,185,26,Overweight
Tom Satriano,Left Handed,73,185,0.225,21,24,Normal
Jeffrey Leonard,Right Handed,74,200,0.266,144,26,Overweight
Dal Maxvill,Right Handed,71,157,0.217,6,22,Normal
Cesar Tovar,Right Handed,69,155,0.278,46,23,Normal
Mickey Lolich,Both Handed,73,170,0.11,0,22,Normal
Jack Heidemann,Right Handed,72,175,0.211,9,24,Normal
Rich Rollins,Right Handed,70,185,0.269,77,27,Overweight
Walt Bond,Left Handed,79,228,0.256,41,26,Overweight
Merv Rettenmund,Right Handed,70,190,0.271,66,27,Overweight
